player_id,player_name,position,team_name,price,team_id,player_status,chance_of_playing,is_blank,is_double,is_home,opponent_encoded,opp_strength,difficulty,roll3_pts,roll5_pts,roll3_mins,pts_per_90,roll3_goals,roll3_assists,roll3_clean,roll3_bonus,roll3_threat,roll3_creativity,roll3_influence,roll3_saves,roll3_yellows,ewm3_pts,ewm5_pts,ewm3_mins,ewm3_goals,ewm3_assists,ewm3_threat,ewm3_creativity,games_played,home_ratio,price_change,gw_number,selected_pct,transfers_in_event,transfers_out_event,predicted_pts,pts_low,pts_high,pred_goals,pred_assists,pred_clean,pred_bonus,pts_from_components,p_plays_full,expected_pts,predicted_price_change,gw2_difficulty,gw2_opponent,gw2_opponent_id,gw2_home,gw3_difficulty,gw3_opponent,gw3_opponent_id,gw3_home,gw4_difficulty,gw4_opponent,gw4_opponent_id,gw4_home,gw5_difficulty,gw5_opponent,gw5_opponent_id,gw5_home,gw6_difficulty,gw6_opponent,gw6_opponent_id,gw6_home,avg_difficulty,blank_gws,double_gws,non_blank_gws,is_blank_next_gw,is_home_next_gw,momentum_score,fixture_trend,fixture_run_label,opp_scoring_bonus,adj_predicted_pts,cs_history_bonus,combined_score,value_score,captain_ev
1,David Raya Martín,Goalkeeper,Arsenal,6.0,1,a,100,False,False,0,212,1.0,4,,,,0,,,,,,,,,,,,,,,,,,,0,2,37.6,3658,3104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3.4,Aston Villa,2,0,3.4,Chelsea,6,1,3.0,Sunderland,20,0,3.0,Brighton,5,0,2.6,Leeds,13,1,3.08,0,0,5,False,False,3.3,-0.2,🟡 Moderate,0.0,0.0,0.0,0.0,0.0,
2,Kepa Arrizabalaga Revuelta,Goalkeeper,Arsenal,5.0,1,a,100,False,False,0,212,1.0,4,,,,0,,,,,,,,,,,,,,,,,,,0,2,0.1,30,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3.4,Aston Villa,2,0,3.4,Chelsea,6,1,3.0,Sunderland,20,0,3.0,Brighton,5,0,2.6,Leeds,13,1,3.08,0,0,5,False,False,3.3,-0.2,🟡 Moderate,0.0,0.0,0.0,0.0,0.0,
3,Illan Meslier,Goalkeeper,Arsenal,5.0,1,a,100,False,False,0,212,1.0,4,,,,0,,,,,,,,,,,,,,,,,,,0,2,0.0,11,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3.4,Aston Villa,2,0,3.4,Chelsea,6,1,3.0,Sunderland,20,0,3.0,Brighton,5,0,2.6,Leeds,13,1,3.08,0,0,5,False,False,3.3,-0.2,🟡 Moderate,0.0,0.0,0.0,0.0,0.0,
4,Gabriel dos Santos Magalhães,Defender,Arsenal,8.0,1,a,100,False,False,0,212,1.0,4,,,,0,,,,,,,,,,,,,,,,,,,0,2,29.7,3057,7353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3.4,Aston Villa,2,0,3.4,Chelsea,6,1,3.0,Sunderland,20,0,3.0,Brighton,5,0,2.6,Leeds,13,1,3.08,0,0,5,False,False,3.3,-0.2,🟡 Moderate,0.0,0.0,0.0,0.0,0.0,
5,Jurriën Timber,Defender,Arsenal,6.5,1,i,0,False,False,0,212,1.0,4,,,,0,,,,,,,,,,,,,,,,,,,0,2,0.1,49,358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3.4,Aston Villa,2,0,3.4,Chelsea,6,1,3.0,Sunderland,20,0,3.0,Brighton,5,0,2.6,Leeds,13,1,3.08,0,0,5,False,False,3.3,-0.2,🟡 Moderate,0.0,0.0,0.0,0.0,0.0,
6,William Saliba,Defender,Arsenal,6.0,1,i,0,False,False,0,212,1.0,4,,,,0,,,,,,,,,,,,,,,,,,,0,2,0.3,114,890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3.4,Aston Villa,2,0,3.4,Chelsea,6,1,3.0,Sunderland,20,0,3.0,Brighton,5,0,2.6,Leeds,13,1,3.08,0,0,5,False,False,3.3,-0.2,🟡 Moderate,0.0,0.0,0.0,0.0,0.0,
7,Myles Lewis-Skelly,Midfielder,Arsenal,5.5,1,a,100,False,False,0,212,1.0,4,,,,0,,,,,,,,,,,,,,,,,,,0,2,0.7,1564,493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3.4,Aston Villa,2,0,3.4,Chelsea,6,1,3.0,Sunderland,20,0,3.0,Brighton,5,0,2.6,Leeds,13,1,3.08,0,0,5,False,False,3.3,-0.2,🟡 Moderate,0.0,0.0,0.0,0.0,0.0,
8,Riccardo Calafiori,Defender,Arsenal,5.5,1,a,100,False,False,0,212,1.0,4,,,,0,,,,,,,,,,,,,,,,,,,0,2,39.8,32682,2122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3.4,Aston Villa,2,0,3.4,Chelsea,6,1,3.0,Sunderland,20,0,3.0,Brighton,5,0,2.6,Leeds,13,1,3.08,0,0,5,False,False,3.3,-0.2,🟡 Moderate,0.0,0.0,0.0,0.0,0.0,
9,Piero Hincapié,Defender,Arsenal,5.5,1,a,100,False,False,0,212,1.0,4,,,,0,,,,,,,,,,,,,,,,,,,0,2,1.8,552,5760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3.4,Aston Villa,2,0,3.4,Chelsea,6,1,3.0,Sunderland,20,0,3.0,Brighton,5,0,2.6,Leeds,13,1,3.08,0,0,5,False,False,3.3,-0.2,🟡 Moderate,0.0,0.0,0.0,0.0,0.0,
10,Benjamin White,Defender,Arsenal,5.5,1,a,100,False,False,0,212,1.0,4,,,,0,,,,,,,,,,,,,,,,,,,0,2,4.6,6647,969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3.4,Aston Villa,2,0,3.4,Chelsea,6,1,3.0,Sunderland,20,0,3.0,Brighton,5,0,2.6,Leeds,13,1,3.08,0,0,5,False,False,3.3,-0.2,🟡 Moderate,0.0,0.0,0.0,0.0,0.0,
