player_id,player_name,position,team_name,price,team_id,roll3_pts,roll5_pts,roll3_mins,roll3_goals,roll3_assists,roll3_clean,roll3_bonus,roll3_threat,roll3_creativity,roll3_influence,is_home,opponent_team,difficulty,pos_encoded,predicted_pts,gw27_difficulty,gw27_opponent,gw28_difficulty,gw28_opponent,gw29_difficulty,gw29_opponent,gw30_difficulty,gw30_opponent,gw31_difficulty,gw31_opponent,avg_difficulty,blank_gws,double_gws,fixture_run_label,combined_score
1,David Raya Martín,Goalkeeper,Arsenal,6.0,1,5.0,4.4,90.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,3.3666666666666667,17.0,0,9,3,2,3.55,3,Spurs,3,Chelsea,3,Brighton,3,Everton,6,BLANK,3.0,1,0,🟡 Moderate,6.39
5,Gabriel dos Santos Magalhães,Defender,Arsenal,7.1,1,5.666666666666667,5.2,90.0,0.0,0.0,0.6666666666666666,0.0,9.0,2.9666666666666672,31.33333333333333,0,9,3,0,5.77,3,Spurs,3,Chelsea,3,Brighton,3,Everton,6,BLANK,3.0,1,0,🟡 Moderate,10.39
291,James Tarkowski,Defender,Everton,5.7,9,2.6666666666666665,4.0,90.0,0.0,0.0,0.0,0.0,9.0,2.0333333333333337,17.2,1,5,3,0,3.57,3,Man Utd,4,Newcastle,1,Burnley,5,Arsenal,3,Chelsea,3.2,0,0,🟡 Moderate,6.14
411,Nico O'Reilly,Defender,Man City,4.9,13,3.0,1.8,90.0,0.0,0.0,0.3333333333333333,0.0,2.333333333333333,13.96666666666667,13.466666666666669,1,6,3,0,3.89,3,Newcastle,3,Leeds,2,Nott'm Forest,2,West Ham,6,BLANK,2.5,1,0,🟡 Moderate,7.78
21,Declan Rice,Midfielder,Arsenal,7.6,1,4.0,3.2,90.0,0.0,0.0,0.6666666666666666,0.0,4.333333333333333,41.8,18.666666666666668,0,9,3,3,4.73,3,Spurs,3,Chelsea,3,Brighton,3,Everton,6,BLANK,3.0,1,0,🟡 Moderate,8.51
237,Enzo Fernández,Midfielder,Chelsea,6.9,7,6.0,5.0,90.0,0.6666666666666666,0.0,0.0,1.0,26.0,28.5,34.06666666666667,1,13,1,3,3.9,1,Burnley,5,Arsenal,4,Aston Villa,3,Newcastle,3,Everton,3.2,0,0,🟡 Moderate,6.71
329,Harry Wilson,Midfielder,Fulham,6.0,10,4.666666666666667,5.0,90.0,0.3333333333333333,0.0,0.0,1.0,15.666666666666666,23.233333333333334,18.0,0,8,4,3,3.93,4,Sunderland,3,Spurs,2,West Ham,3,Nott'm Forest,1,Burnley,2.6,0,0,🟡 Moderate,7.7
82,Antoine Semenyo,Midfielder,Man City,8.0,13,5.666666666666667,5.0,90.0,0.6666666666666666,0.0,0.3333333333333333,0.0,31.0,9.3,25.466666666666665,1,6,3,3,8.28,3,Newcastle,3,Leeds,2,Nott'm Forest,2,West Ham,6,BLANK,2.5,1,0,🟡 Moderate,16.56
449,Bruno Borges Fernandes,Midfielder,Man Utd,9.8,14,8.333333333333334,8.4,90.0,0.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,17.333333333333332,54.20000000000001,37.6,0,19,3,3,4.18,3,Everton,3,Crystal Palace,4,Newcastle,3,Aston Villa,3,Bournemouth,3.2,0,0,🟡 Moderate,7.19
249,João Pedro Junqueira de Jesus,Forward,Chelsea,7.7,7,10.0,7.8,67.66666666666667,0.6666666666666666,1.3333333333333333,0.3333333333333333,2.0,27.33333333333333,10.233333333333333,37.266666666666666,1,13,1,1,4.06,1,Burnley,5,Arsenal,4,Aston Villa,3,Newcastle,3,Everton,3.2,0,0,🟡 Moderate,6.98
691,Dominic Calvert-Lewin,Forward,Leeds,5.9,11,3.6666666666666665,4.2,88.0,0.3333333333333333,0.0,0.0,0.3333333333333333,18.33333333333333,4.1000000000000005,13.733333333333333,0,11,4,1,3.33,4,Aston Villa,4,Man City,2,Sunderland,3,Crystal Palace,3,Brentford,3.2,0,0,🟡 Moderate,5.73
